uid,device_id,registerdate,lastpaydate,lastlogtime
353535941337825,9d7d2598-c50d-44a6-bba1-58eb917cfbce,1454317211,,1461883487
517784080691472,,1454454867,,1457504660
368482427547932,fad2f67c-d380-48a4-9d28-f34e69a35692,1454566087,,1467035277
313635695198016,,1454617764,,1454843216
490949125046090,8478c637-a0f7-4af2-aee5-c53784166ecb,1454679652,,1468299631
512157673553740,375662c0-b687-409a-a750-b9c8347b41fe,1454690896,1467075330,1468371922
658242394092486,,1454763035,,1458423191
788336953488333,cb86c43e-39b3-4965-856f-7ec641900d1a,1454783779,,1463900433
438559114009516,,1454807392,,1459375149
420271143263158,,1454839739,,1458501010
296911092587473,,1454965412,,1459066344
804958476923897,84e54baa-f321-4c25-9124-88305413c2fc,1455046802,,1461516142
440861216480233,,1455151382,,1456257569
445671579851762,,1455211592,,1456012630
703330960765984,,1455371211,,1458148999
802209697854502,4c9b66d1-e8d0-44c8-aa62-00240bb8bad1,1455416395,1466404161,1468355493
537832988089370,4fa8af5c-901a-4e17-9c80-a55bc79c8087,1455435240,,1464331440
339740506483267,7be98484-eb1f-453c-b991-ec006f2ce67c,1455465754,,1464290251
331339550452301,5c0cd2d776c20086,1455533763,,1463405945
457285171450348,9b385fc4-ed00-42e1-a7ba-06b4285fc567,1455562694,,1466442100
451237857497647,,1455566805,,1457131892
407635349508808,,1455581338,,1457191113
650803510766310,71a491894f4f5d65,1455582556,,1462261915
389270069351124,8744735d-cb93-471a-8a26-b260ee9cd808,1455582644,,1468379438
789092867762979,,1455585469,,1458310667
635393168108509,,1455594625,,1459265829
335935165469659,,1455596257,,1458228317
831561504386046,b6eb5742-7bdd-45b2-827f-9aa2b6328772,1455597309,,1463928119
684647853059120,,1455602410,,1457352552
547977700873277,53098aa7-aec1-4777-9237-dc21c63c7afd,1455605273,,1463044306
722125737684035,2cc3d4e4-ff38-4b2e-8b61-7af781c8061e,1455606061,,1461565839
289180151485583,f86c0da2-9ac5-4a91-99a1-abf36ad23151,1455614193,,1468288483
801891870305440,0b4e7c5f-03a3-421c-ab54-d1c421f73eff,1455616856,,1460529689
696733891060606,01dcacb5-9056-48ed-84f7-e0747fba2aab,1455641060,,1468376137
314881235825359,8096c776-0d19-4007-a869-c85d8d8e815d,1455643318,,1462451397
391804100096776,3a09d9b1-1239-40de-a388-69403a5b8679,1455645778,,1460968095
565127503176677,,1455645790,,1457090895
686048012428535,,1455664311,,1457177143
675972019152378,,1455676818,,1457457419
511453299029299,7db2077c-65b1-41a4-a79c-ec1b5c052302,1455678612,1463879545,1467111086
313446716749130,,1455680944,,1459265953
434478895150504,2c9fb16a-f8e2-479e-81ab-0974e2807c6f,1455689354,,1459947919
622087359456920,3a4a749d-a0ce-4f9c-b1ba-9cee54c3ff66,1455693561,,1466652265
765298748974840,,1455706196,,1457277456
595742030063487,fd6817b6-2b06-4e24-b412-852f6a9e2e21,1455715585,,1462223797
760256457369944,6238d360-02d0-402c-a2ac-e23dffc8c8e3,1455754424,,1460278358
615593368906106,,1455757554,,1459282265
408597422225616,,1455760038,,1455847495
791008423209405,ff2dfac8-6cfd-4b90-b829-a8aac704559d,1455761566,,1459975095
757670887057857,,1455761796,,1456011115
629251364907495,087bbb87-4b43-41f2-9ca8-b81a33f29f79,1455764224,,1461563134
399784149334436,75231ba6-edf3-47cb-8fde-82dbcb1a09dd,1455780464,,1467242974
746641411142106,005aa8bc-2db6-4930-acbe-ce707862efeb,1455799773,,1468356255
617319945859662,b12ea2cd-118e-4be4-a365-9c480ce3664b,1455802134,,1468381119
735620525060691,f7ff2117-a152-491d-ab41-9bf05eed1cb4,1455802405,1464628893,1466163024
813617131156053,,1455802410,,1457647768
600861631181606,,1455814149,,1459836315
402034712198093,93ca546a-f8cf-461a-b073-dc1c5a156424,1455814934,,1466678168
653148563043211,,1455816880,,1459464559
680438785242072,eb5c59c7-bd71-4460-b285-cc638ba195b2,1455818598,,1467821330
466983207648683,76d54dfd-986c-4d5c-ba3c-68753b6a75ac,1455823144,,1467048298
459922281414119,,1455823911,,1456175513
605096468936040,f076f11b-2fc2-41ac-9c21-45df02992610,1455823940,1463404941,1468374276
731291198027169,891ceb7f-1e42-4e98-9ad3-ad15b3466c26,1455824771,,1462071125
506411007426125,db2e76c2-e6f0-4dac-a72c-fc264d3aab5c,1455825349,,1468381663
755557763249618,02d58665-7203-4191-bc2b-f6ba0df02201,1455825459,,1468037054
460600886247040,8871d51f-30dc-43c3-9e2e-4c01759f0a3a,1455826169,1462064547,1468372609
496463863168707,,1455827276,,1459389694
783028374074997,,1455828449,,1458743963
315516890988301,20c58124-9130-4f74-afbd-3683d8b356cd,1455828646,,1459802762
352127192219414,,1455828819,,1458198448
681280598832909,f29b0203-9047-459e-8340-697928a25f07,1455831391,1462156964,1465816753
812182612080522,,1455833884,,1457013324
281775627911300,,1455835909,,1458341233
404482843558032,53ef8726-5d58-4ff5-8e53-38b7a8c25eaa,1455836209,,1459792337
582788408801303,82bf04d7-9860-41e7-9a29-3206d343a7da,1455836698,,1460840627
547823082094849,be88c55a-46cf-4492-a37c-8d762281ea71,1455838052,1463789383,1466888492
701836312311952,e09310ea-dd94-46b4-a6f1-f94c984a2463,1455838494,1462287930,1462860744
683668600649885,cc93da10-ab94-40ad-92fd-c338c1e239fa,1455838754,1463955707,1466651307
773957403146559,f8236a21-c6c5-46e7-b0ca-8a4c47da6cf6,1455841169,,1460583121
388084658422237,3be44838-0da0-43d4-ab59-aa06a66dc47f,1455841471,1462315961,1467770795
346346166239896,,1455843840,,1459403101
483458702197488,,1455845053,,1457971717
785270347004681,1c99375f-e6be-4b04-91ef-0e22507d5236,1455846811,1461853560,1465120179
704052515437395,1b9ade30-a6d0-4098-a119-f94a2370dc56,1455847720,,1465108870
607536010361712,e98dae96-2139-4bf1-8a58-12818df288b8,1455848245,,1468323994
496309244347388,,1455848518,,1456878085
492503903323201,,1455849485,,1457788228
805877600091073,,1455849517,,1455995934
433551182218363,e8b1b1c5-ecf1-46d5-87e3-caedefd8b3d2,1455850525,,1463015967
331339550508156,5c0cd2d776c20086,1455850574,,1467193843
343270969656534,,1455852110,,1457320286
338847153341674,a0a98aae-b8b5-45ae-bf49-a70fcc874142,1455852731,,1461447848
556086599173379,5a7a82d1-8d41-4e8a-a09e-42aa69ae3127,1455853554,,1466389918
704000975830202,a0f19613-a070-4032-a641-13e1e5994945,1455855089,,1466917851
818204156230862,551bb757-8ff0-4854-95c9-23db53637180,1455855735,,1465937910
685893393710289,93f7c9a8-be75-46fd-a518-81c0b3aa6887,1455855847,,1461169469
655012578852102,83d046d7-960b-46a8-b665-af3bc5db9f3c,1455859428,,1460833983
